patch,lat_ms,pred_cf,gt_cf,pred_cloudy,gt_cloudy
x_0605,67.2,0.8514,0.7991,1,1
x_0606,71.4,0.5697,0.5709,0,0
x_0607,82.0,0.6872,0.8026,0,1
x_0608,68.1,0.0000,0.0000,0,0
x_0609,67.7,0.1783,0.1719,0,0
x_0610,68.3,0.4916,0.4561,0,0
x_0611,67.9,0.0433,0.0528,0,0
x_0612,68.1,0.6797,0.6625,0,0
x_0613,67.6,0.0000,0.0000,0,0
x_0614,67.9,0.2555,0.2620,0,0
x_0615,68.3,0.6997,0.6064,0,0
x_0616,68.1,0.0000,0.0000,0,0
x_0617,84.8,0.1878,0.1779,0,0
x_0618,67.9,0.4123,0.4025,0,0
x_0619,68.5,0.3060,0.3677,0,0
x_0620,68.3,0.2810,0.3242,0,0
x_0621,68.8,0.8860,0.8212,1,1
x_0622,67.8,0.2719,0.2712,0,0
x_0623,68.1,0.3718,0.3616,0,0
x_0624,67.7,0.0000,0.0000,0,0
x_0625,68.9,0.2274,0.2316,0,0
x_0626,68.1,0.6035,0.6189,0,0
x_0627,82.9,0.2129,0.2071,0,0
x_0628,68.1,0.0309,0.0000,0,0
x_0629,67.8,0.3487,0.3388,0,0
x_0630,67.8,0.4370,0.4258,0,0
x_0631,67.3,0.0000,0.0000,0,0
x_0632,67.6,0.7111,0.6866,1,0
x_0633,67.7,0.2419,0.2450,0,0
x_0634,67.7,0.1401,0.1571,0,0
x_0635,67.5,0.4416,0.4725,0,0
x_0636,67.0,0.1210,0.1420,0,0
x_0637,82.2,0.5763,0.4447,0,0
x_0638,67.6,0.6530,0.6588,0,0
x_0639,67.9,0.0000,0.0000,0,0
x_0640,67.6,0.2067,0.1849,0,0
x_0641,68.0,0.1130,0.0543,0,0
x_0642,68.0,0.4773,0.4370,0,0
x_0643,68.3,0.8860,0.8233,1,1
x_0644,67.6,0.0093,0.0000,0,0
x_0645,68.1,0.7034,0.6883,1,0
x_0646,68.2,0.3876,0.3720,0,0
x_0647,84.4,0.5818,0.5574,0,0
x_0648,67.9,0.0000,0.0000,0,0
x_0649,68.1,0.0589,0.0433,0,0
x_0650,67.8,0.0797,0.0841,0,0
x_0651,68.6,0.4024,0.4216,0,0
x_0652,67.8,0.5023,0.5059,0,0
x_0653,67.7,0.7331,0.9316,1,1
x_0654,68.8,0.0000,0.0000,0,0
x_0655,68.0,0.1482,0.1449,0,0
x_0656,68.0,0.0000,0.0000,0,0
x_0657,81.9,0.3118,0.3284,0,0
x_0658,67.4,0.2961,0.2967,0,0
x_0659,67.7,0.6335,0.5920,0,0
x_0660,68.4,0.5629,0.5848,0,0
x_0661,67.7,0.0103,0.1719,0,0
x_0662,67.5,0.4549,0.4531,0,0
x_0663,67.4,0.0000,0.0000,0,0
x_0664,68.1,0.5759,0.6315,0,0
x_0665,68.7,0.9344,0.8803,1,1
x_0666,68.2,0.2784,0.2984,0,0
x_0667,86.8,0.7375,1.0000,1,1
x_0668,67.6,0.0000,0.0000,0,0
x_0669,68.3,0.8339,0.5846,1,0
x_0670,68.2,0.4473,0.8890,0,1
x_0671,67.9,0.0000,0.0000,0,0
x_0672,67.7,0.5994,0.4931,0,0
x_0673,68.0,0.7708,0.8850,1,1
x_0674,68.6,0.0999,0.1746,0,0
x_0675,67.7,0.0019,0.0000,0,0
x_0676,67.6,0.8864,0.8948,1,1
x_0677,79.6,0.3358,0.3473,0,0
x_0678,67.6,0.4857,0.8135,0,1
x_0679,67.8,0.4126,0.4092,0,0
x_0680,67.9,0.4681,0.5171,0,0
x_0681,67.7,0.1451,0.1731,0,0
x_0682,68.7,0.4363,0.6109,0,0
x_0683,67.3,0.0065,0.0000,0,0
x_0684,68.6,0.9978,0.9411,1,1
x_0685,68.5,0.7162,0.7162,1,1
x_0686,68.0,0.0000,0.0000,0,0
x_0687,81.9,0.4007,0.4145,0,0
x_0688,67.9,0.9009,0.8852,1,1
x_0689,68.0,0.2074,0.2063,0,0
x_0690,68.5,0.8935,0.7460,1,1
x_0691,67.8,0.6847,0.6518,0,0
x_0692,68.0,0.3078,0.3276,0,0
x_0693,67.6,0.0000,0.0000,0,0
x_0694,67.7,0.2956,0.2414,0,0
x_0695,68.3,0.5042,0.5212,0,0
x_0696,67.6,0.0845,0.0825,0,0
x_0697,84.9,0.2791,0.2814,0,0
x_0698,68.1,0.8399,0.8252,1,1
x_0699,68.0,0.0000,0.0000,0,0
x_0700,67.6,0.1050,0.1142,0,0
x_0701,67.8,0.0000,0.0000,0,0
x_0702,67.5,0.2345,0.2098,0,0
x_0703,68.0,0.0424,0.0516,0,0
x_0704,68.0,0.6926,0.7231,0,1
x_0705,67.9,0.9589,0.9139,1,1
x_0706,67.7,0.0000,0.0000,0,0
x_0707,82.0,0.2542,0.2653,0,0
x_0708,67.4,0.9788,0.9340,1,1
x_0709,67.7,0.4986,0.4797,0,0
x_0710,67.7,0.3477,0.3705,0,0
x_0711,68.0,0.7631,0.7960,1,1
x_0712,68.1,0.0726,0.0961,0,0
x_0713,67.8,0.2973,0.3081,0,0
x_0714,67.5,0.0000,0.0000,0,0
x_0715,67.9,0.0859,0.1447,0,0
x_0716,67.8,0.5303,0.6911,0,0
x_0717,84.5,0.8404,0.9697,1,1
x_0718,67.9,0.3894,0.5678,0,0
x_0719,68.1,0.0000,0.0000,0,0
x_0720,67.9,0.0335,0.0793,0,0
x_0721,68.2,0.6951,0.6975,0,0
x_0722,67.8,0.4766,0.4613,0,0
x_0723,68.3,0.0706,0.0778,0,0
x_0724,67.8,0.0000,0.0000,0,0
x_0725,67.7,0.8212,0.7505,1,1
x_0726,67.9,0.8942,0.8106,1,1
x_0727,80.9,0.0004,0.0000,0,0
x_0728,68.0,0.0139,0.0020,0,0
x_0729,67.7,0.6320,0.5990,0,0
x_0730,67.9,0.0000,0.0000,0,0
x_0731,68.2,0.3655,0.3325,0,0
x_0732,67.9,0.1193,0.1005,0,0
x_0733,67.8,0.4665,0.4401,0,0
x_0734,68.1,0.8068,0.8231,1,1
x_0735,68.1,0.5248,0.6545,0,0
x_0736,68.1,0.0000,0.0000,0,0
x_0737,82.8,0.6517,0.9710,0,1
x_0738,68.1,0.3049,0.2974,0,0
x_0739,68.1,0.2032,0.2063,0,0
x_0740,68.0,0.0000,0.0000,0,0
x_0741,67.7,0.7750,0.8381,1,1
x_0742,67.9,0.8334,0.5934,1,0
x_0743,67.8,0.6124,0.5862,0,0
x_0744,67.8,0.0757,0.0999,0,0
x_0745,68.0,0.0961,0.1124,0,0
x_0746,67.4,0.0000,0.0000,0,0
x_0747,87.2,0.2727,0.3460,0,0
x_0748,67.7,0.3122,0.3278,0,0
x_0749,68.1,0.9147,0.8615,1,1
x_0750,67.8,0.2448,0.2771,0,0
x_0751,68.3,0.2936,0.2566,0,0
x_0752,67.6,0.0318,0.0000,0,0
x_0753,67.8,0.4147,0.4531,0,0
x_0754,68.4,0.8767,0.9468,1,1
x_0755,68.1,0.0837,0.1417,0,0
x_0756,67.6,0.0000,0.0000,0,0
x_0757,83.0,0.4515,0.4670,0,0
x_0758,81.7,0.5399,0.5703,0,0
x_0759,67.6,0.4822,0.4103,0,0
x_0760,67.9,0.4542,0.4980,0,0
x_0761,67.8,0.5998,0.6338,0,0
x_0762,68.3,0.0691,0.0729,0,0
x_0763,68.9,0.3443,0.2611,0,0
x_0764,67.7,0.0000,0.0000,0,0
x_0765,67.6,0.1249,0.1382,0,0
x_0766,70.0,0.3081,0.0000,0,0
x_0767,68.2,0.5651,0.6535,0,0
x_0768,82.1,0.0728,0.0520,0,0
x_0769,84.7,0.6751,0.7007,0,1
x_0770,68.1,0.0818,0.0862,0,0
x_0771,68.0,0.1424,0.2343,0,0
x_0772,68.2,0.8821,0.8516,1,1
x_0773,68.3,0.1930,0.2124,0,0
x_0774,68.0,0.0000,0.0000,0,0
x_0775,67.5,0.0000,0.0000,0,0
x_0776,68.9,0.6778,0.6014,0,0
x_0777,67.7,0.5836,0.6678,0,0
x_0778,67.4,0.0419,0.1304,0,0
x_0779,85.9,0.0373,0.0429,0,0
x_0780,68.0,0.0000,0.0000,0,0
x_0781,67.9,0.0335,0.0426,0,0
x_0782,68.3,0.1068,0.1069,0,0
x_0783,68.3,0.5283,0.4843,0,0
x_0784,68.1,0.7086,0.6554,1,0
x_0785,67.9,0.8682,0.8612,1,1
x_0786,67.6,0.0000,0.0000,0,0
x_0787,68.2,0.4276,0.4313,0,0
x_0788,67.6,0.0073,0.0096,0,0
x_0789,80.3,0.3780,0.6671,0,0
x_0790,68.2,0.3442,0.3653,0,0
x_0791,67.5,0.1139,0.1368,0,0
x_0792,67.7,0.1481,0.1570,0,0
x_0793,68.3,0.0000,0.0000,0,0
x_0794,68.6,0.7016,0.6772,1,0
x_0795,68.6,0.0862,0.0994,0,0
x_0796,67.7,0.1911,0.1227,0,0
x_0797,68.2,0.2848,0.2901,0,0
x_0798,67.9,0.0000,0.0000,0,0
x_0799,84.8,0.9534,0.9462,1,1
x_0800,68.3,0.0000,0.0000,0,0
x_0801,67.4,0.4721,0.4822,0,0
x_0802,69.4,0.1099,0.1019,0,0
x_0803,68.2,0.5696,0.5366,0,0
x_0804,67.8,0.0875,0.0909,0,0
x_0805,67.7,0.3739,0.3380,0,0
x_0806,67.6,0.4110,0.3795,0,0
x_0807,67.6,0.0000,0.0000,0,0
x_0808,68.3,0.0692,0.1149,0,0
x_0809,80.0,0.0116,0.0165,0,0
x_0810,67.7,0.0186,0.0000,0,0
x_0811,68.1,0.3523,0.4105,0,0
x_0812,67.9,0.7017,0.8042,1,1
x_0813,68.1,0.0174,0.0198,0,0
x_0814,68.0,0.2877,0.3373,0,0
x_0815,68.5,0.0000,0.0000,0,0
x_0816,67.9,0.1147,0.1041,0,0
x_0817,68.4,0.8907,0.8597,1,1
x_0818,68.1,0.2910,0.2572,0,0
x_0819,82.0,0.5141,0.4913,0,0
x_0820,68.1,0.6518,0.6336,0,0
x_0821,67.8,0.3266,0.3115,0,0
x_0822,68.3,0.9961,0.9707,1,1
x_0823,68.6,0.0000,0.0000,0,0
x_0824,68.0,0.2097,0.1969,0,0
x_0825,67.9,0.7075,0.6980,1,0
x_0826,67.8,0.2661,0.3245,0,0
x_0827,68.1,0.8027,0.6297,1,0
x_0828,67.7,0.3677,0.3622,0,0
x_0829,84.0,0.0000,0.0000,0,0
x_0830,68.3,0.0405,0.0000,0,0
x_0831,68.0,0.0603,0.4221,0,0
x_0832,68.0,0.0000,0.7165,0,1
x_0833,67.9,0.0088,0.4053,0,0
x_0834,68.0,0.0054,0.0000,0,0
x_0835,68.4,0.0000,0.0000,0,0
x_0836,67.7,0.3474,0.3583,0,0
x_0837,67.8,0.6863,0.7127,0,1
x_0838,68.8,0.4270,0.4802,0,0
x_0839,82.8,0.9099,0.9191,1,1
x_0840,68.0,0.3060,0.2918,0,0
x_0841,67.6,0.6051,0.6470,0,0
x_0842,68.0,0.0000,0.0000,0,0
x_0843,68.2,0.1105,0.1173,0,0
x_0844,68.3,0.8501,0.9332,1,1
x_0845,68.2,0.1466,0.1348,0,0
x_0846,68.1,0.3742,0.4392,0,0
x_0847,68.0,0.6902,0.5740,0,0
x_0848,68.1,0.0000,0.0000,0,0
x_0849,86.8,0.9081,0.9770,1,1
x_0850,67.8,0.9094,0.9536,1,1
x_0851,68.8,0.5483,0.3506,0,0
x_0852,69.0,0.0000,0.0000,0,0
x_0853,68.0,0.0611,0.0541,0,0
x_0854,68.0,0.4908,0.5069,0,0
x_0855,67.8,0.0058,0.0000,0,0
x_0856,67.7,0.0673,0.1010,0,0
x_0857,68.3,0.7670,0.6910,1,0
x_0858,67.8,0.7502,0.7979,1,1
x_0859,82.2,0.2259,0.2831,0,0
x_0860,85.0,0.0870,0.3451,0,0
x_0861,68.0,0.0000,0.0000,0,0
x_0862,67.6,0.3380,0.2610,0,0
x_0863,68.1,0.7012,0.8278,1,1
x_0864,69.0,0.4253,0.4427,0,0
x_0865,68.2,0.0000,0.0000,0,0
x_0866,68.1,0.5502,0.6005,0,0
x_0867,68.0,0.8987,0.9710,1,1
x_0868,68.4,0.1765,0.1579,0,0
x_0869,69.1,0.0308,0.0309,0,0
x_0870,81.8,0.0492,0.0490,0,0
x_0871,68.0,0.0000,0.0000,0,0
x_0872,67.6,0.6597,0.9774,0,1
x_0873,68.6,0.4539,0.1977,0,0
x_0874,68.3,0.4315,0.4905,0,0
x_0875,67.8,0.3939,0.3975,0,0
x_0876,68.4,0.5042,0.5051,0,0
x_0877,68.0,0.0000,0.0000,0,0
x_0878,68.0,0.0394,0.0370,0,0
x_0879,67.8,0.1778,0.1630,0,0
x_0880,82.0,0.0000,0.0000,0,0
x_0881,67.9,0.0032,0.0027,0,0
x_0882,71.4,0.1957,0.1658,0,0
x_0883,68.0,0.3207,0.2983,0,0
x_0884,68.1,0.6749,0.6683,0,0
x_0885,68.4,0.0000,0.0000,0,0
x_0886,69.1,0.4974,0.4900,0,0
x_0887,67.7,0.5324,0.5020,0,0
x_0888,68.1,0.8837,0.9045,1,1
x_0889,67.8,0.0000,0.1411,0,0
x_0890,82.3,0.0008,0.0000,0,0
x_0891,67.9,0.6345,0.5522,0,0
x_0892,68.0,0.0310,0.0350,0,0
x_0893,68.2,0.2337,0.2280,0,0
x_0894,67.7,0.1550,0.1626,0,0
x_0895,67.9,0.7588,0.0618,1,0
x_0896,68.3,0.4972,0.5216,0,0
x_0897,68.4,0.0045,0.0199,0,0
x_0898,68.1,0.0000,0.0000,0,0
x_0899,68.1,0.8771,0.9190,1,1
x_0900,82.3,0.3266,0.3303,0,0
x_0901,68.2,0.0050,0.0000,0,0
x_0902,68.3,0.9763,0.9657,1,1
x_0903,68.2,0.9125,0.9096,1,1
x_0904,68.5,0.0290,0.0339,0,0
x_0905,68.3,0.4892,0.4915,0,0
x_0906,68.3,0.1310,0.1429,0,0
x_0907,68.7,0.8394,0.8244,1,1
x_0908,67.9,0.3895,0.4032,0,0
x_0909,68.1,0.0000,0.0000,0,0
x_0910,84.9,0.2076,0.2047,0,0
x_0911,82.4,0.6484,0.5957,0,0
x_0912,68.4,0.2940,0.2727,0,0
x_0913,68.0,0.5149,0.4870,0,0
x_0914,68.1,0.0000,0.0000,0,0
x_0915,68.1,0.4202,0.4375,0,0
x_0916,68.5,0.0000,0.0000,0,0
x_0917,68.0,0.3857,0.4962,0,0
x_0918,68.2,0.7682,0.8192,1,1
x_0919,68.0,0.9127,0.8733,1,1
x_0920,68.1,0.6277,0.6182,0,0
x_0921,88.1,0.7046,0.6874,1,0
x_0922,68.5,0.4458,0.4251,0,0
x_0923,67.8,0.3373,0.3507,0,0
x_0924,67.7,0.0106,0.0000,0,0
x_0925,68.7,0.2836,0.2830,0,0
x_0926,69.2,0.7212,0.8178,1,1
x_0927,68.3,0.0789,0.0000,0,0
x_0928,68.5,0.4319,0.4138,0,0
x_0929,68.1,0.8542,0.8597,1,1
x_0930,68.5,0.0000,0.0000,0,0
x_0931,81.7,0.7153,0.6418,1,0
x_0932,84.4,0.8598,0.6359,1,0
x_0933,68.2,0.1018,0.1091,0,0
x_0934,68.5,0.6692,0.6585,0,0
x_0935,67.9,0.0000,0.0000,0,0
x_0936,68.2,0.0478,0.2558,0,0
x_0937,67.9,0.5745,0.5589,0,0
x_0938,68.2,0.6583,0.7080,0,1
x_0939,69.1,0.2612,0.2559,0,0
x_0940,68.0,0.0113,0.0000,0,0
x_0941,68.2,0.5360,0.5283,0,0
x_0942,82.5,0.1983,0.2114,0,0
x_0943,68.2,0.2295,0.2395,0,0
x_0944,68.2,0.6814,1.0000,0,1
x_0945,67.9,0.1825,0.0430,0,0
x_0946,68.5,0.4138,0.7679,0,1
x_0947,69.1,0.0000,0.0000,0,0
x_0948,67.6,0.3517,0.2320,0,0
x_0949,67.9,0.5635,0.6793,0,0
x_0950,68.4,0.0160,0.0192,0,0
x_0951,67.7,0.5824,0.6672,0,0
x_0952,81.9,0.0000,0.0000,0,0
x_0953,68.4,0.6608,0.8895,0,1
x_0954,67.9,0.2145,0.2139,0,0
x_0955,69.2,0.0003,0.0000,0,0
x_0956,68.4,0.2862,0.5020,0,0
x_0957,68.1,0.5070,0.5705,0,0
x_0958,68.1,0.4813,0.5373,0,0
x_0959,67.9,0.0496,0.0516,0,0
x_0960,67.7,0.0000,0.0000,0,0
x_0961,68.6,0.9538,0.9640,1,1
x_0962,87.6,0.2893,0.2747,0,0
x_0963,68.5,0.0197,0.0239,0,0
x_0964,67.7,0.5435,0.1563,0,0
x_0965,68.7,0.7625,0.8284,1,1
x_0966,68.8,0.0000,0.0000,0,0
x_0967,67.8,0.3173,0.3359,0,0
x_0968,68.1,0.0479,0.0009,0,0
x_0969,68.6,0.5632,0.5699,0,0
x_0970,67.5,0.0000,0.0000,0,0
x_0971,68.0,0.1898,0.2257,0,0
x_0972,81.0,0.1795,1.0000,0,1
x_0973,68.3,0.5334,0.5452,0,0
x_0974,68.5,0.1728,0.2300,0,0
